# Step	Epsilon	Squeezing(dB)	QFI_Total
0	0.202089	7.0031	8.926876e+01
1	0.201804	7.0091	8.939340e+01
2	0.201398	7.0176	8.963052e+01
3	0.200882	7.0285	8.996945e+01
4	0.200267	7.0414	9.040075e+01
5	0.199565	7.0563	9.091607e+01
6	0.198782	7.0729	9.150802e+01
7	0.197928	7.0911	9.217000e+01
8	0.197009	7.1108	9.289613e+01
9	0.196032	7.1319	9.368114e+01
10	0.195003	7.1542	9.452032e+01
11	0.193926	7.1776	9.540940e+01
12	0.192808	7.2021	9.634457e+01
13	0.191651	7.2276	9.732236e+01
14	0.190460	7.2540	9.833964e+01
15	0.189238	7.2813	9.939355e+01
16	0.187988	7.3094	1.004815e+02
17	0.186713	7.3383	1.016012e+02
18	0.185415	7.3679	1.027503e+02
19	0.184098	7.3982	1.039270e+02
20	0.182762	7.4291	1.051294e+02
21	0.181410	7.4607	1.063559e+02
22	0.180043	7.4928	1.076048e+02
23	0.178662	7.5255	1.088748e+02
24	0.177270	7.5588	1.101645e+02
25	0.175867	7.5926	1.114727e+02
26	0.174454	7.6269	1.127982e+02
27	0.173033	7.6618	1.141399e+02
28	0.171603	7.6971	1.154968e+02
29	0.170167	7.7329	1.168680e+02
30	0.168724	7.7692	1.182524e+02
31	0.167276	7.8059	1.196494e+02
32	0.165822	7.8431	1.210579e+02
33	0.164364	7.8808	1.224772e+02
34	0.162901	7.9189	1.239067e+02
35	0.161435	7.9575	1.253454e+02
36	0.159965	7.9966	1.267927e+02
37	0.158493	8.0361	1.282480e+02
38	0.157017	8.0760	1.297105e+02
39	0.155540	8.1164	1.311795e+02
40	0.154060	8.1573	1.326546e+02
41	0.152577	8.1986	1.341349e+02
42	0.151094	8.2404	1.356198e+02
43	0.149608	8.2827	1.371088e+02
44	0.148121	8.3254	1.386013e+02
45	0.146633	8.3687	1.400965e+02
46	0.145144	8.4124	1.415940e+02
47	0.143653	8.4566	1.430931e+02
48	0.142162	8.5013	1.445931e+02
49	0.140670	8.5465	1.460935e+02
50	0.139176	8.5923	1.475936e+02
51	0.137683	8.6385	1.490929e+02
52	0.136188	8.6853	1.505907e+02
53	0.134693	8.7327	1.520864e+02
54	0.133198	8.7806	1.535794e+02
55	0.131702	8.8291	1.550689e+02
56	0.130206	8.8781	1.565544e+02
57	0.128709	8.9278	1.580352e+02
58	0.127212	8.9781	1.595107e+02
59	0.125715	9.0289	1.609801e+02
60	0.124217	9.0804	1.624428e+02
61	0.122719	9.1326	1.638981e+02
62	0.121221	9.1854	1.653452e+02
63	0.119723	9.2389	1.667835e+02
64	0.118225	9.2931	1.682122e+02
65	0.116726	9.3480	1.696305e+02
66	0.115227	9.4036	1.710377e+02
67	0.113729	9.4600	1.724330e+02
68	0.112230	9.5171	1.738156e+02
69	0.110731	9.5750	1.751847e+02
70	0.109231	9.6337	1.765393e+02
71	0.107732	9.6933	1.778786e+02
72	0.106233	9.7537	1.792018e+02
73	0.104734	9.8150	1.805078e+02
74	0.103234	9.8772	1.817958e+02
75	0.101735	9.9403	1.830646e+02
76	0.100235	10.0043	1.843133e+02
77	0.098735	10.0693	1.855408e+02
78	0.097236	10.1354	1.867460e+02
79	0.095736	10.2025	1.879276e+02
80	0.094236	10.2706	1.890845e+02
81	0.092737	10.3399	1.902153e+02
82	0.091237	10.4103	1.913187e+02
83	0.089737	10.4819	1.923933e+02
84	0.088237	10.5547	1.934376e+02
85	0.086738	10.6288	1.944500e+02
86	0.085238	10.7042	1.954288e+02
87	0.083738	10.7809	1.963721e+02
88	0.082238	10.8591	1.972782e+02
89	0.080738	10.9386	1.981450e+02
90	0.079238	11.0197	1.989702e+02
91	0.077738	11.1024	1.997516e+02
92	0.076238	11.1867	2.004867e+02
93	0.074738	11.2726	2.011728e+02
94	0.073238	11.3604	2.018071e+02
95	0.071739	11.4499	2.023863e+02
96	0.070239	11.5414	2.029073e+02
97	0.068739	11.6348	2.033662e+02
98	0.067239	11.7303	2.037593e+02
99	0.065739	11.8280	2.040823e+02
100	0.064239	11.9280	2.043305e+02
101	0.062739	12.0303	2.044989e+02
102	0.061239	12.1352	2.045820e+02
103	0.060039	12.2209	2.045740e+02
104	0.059109	12.2885	2.044976e+02
105	0.058422	12.3392	2.043931e+02
106	0.057954	12.3741	2.042894e+02
107	0.057682	12.3944	2.042054e+02
108	0.057588	12.4015	2.041516e+02
109	0.057653	12.3966	2.041321e+02
110	0.057862	12.3809	2.041456e+02
111	0.058199	12.3557	2.041876e+02
112	0.058653	12.3221	2.042509e+02
113	0.059212	12.2810	2.043269e+02
114	0.059865	12.2335	2.044067e+02
115	0.060602	12.1804	2.044811e+02
116	0.061416	12.1227	2.045415e+02
117	0.062298	12.0609	2.045799e+02
118	0.062942	12.0163	2.045894e+02
119	0.063372	11.9868	2.045760e+02
120	0.063609	11.9707	2.045577e+02
121	0.063672	11.9664	2.045445e+02
122	0.063578	11.9728	2.045407e+02
123	0.063344	11.9887	2.045463e+02
124	0.062984	12.0134	2.045591e+02
125	0.062509	12.0462	2.045745e+02
126	0.061932	12.0864	2.045869e+02
127	0.061563	12.1123	2.045895e+02
128	0.061381	12.1251	2.045838e+02
129	0.061367	12.1261	2.045788e+02
130	0.061504	12.1165	2.045784e+02
131	0.061777	12.0972	2.045823e+02
132	0.062173	12.0695	2.045878e+02
133	0.062380	12.0552	2.045901e+02
134	0.062416	12.0527	2.045887e+02
135	0.062298	12.0609	2.045882e+02
136	0.062042	12.0787	2.045894e+02
137	0.061962	12.0843	2.045900e+02
138	0.062040	12.0789	2.045897e+02
