# Step	Epsilon	Squeezing(dB)	QFI_Total
139	0.062260	12.0635	2.045900e+02
140	0.062308	12.0602	2.045897e+02
141	0.062201	12.0676	2.045893e+02
142	0.061955	12.0848	2.045900e+02
143	0.061883	12.0898	2.045896e+02
144	0.061969	12.0838	2.045890e+02
145	0.062196	12.0680	2.045897e+02
146	0.062250	12.0642	2.045900e+02
147	0.062149	12.0712	2.045897e+02
148	0.061908	12.0881	2.045901e+02
149	0.061841	12.0928	2.045893e+02
150	0.061931	12.0865	2.045886e+02
151	0.062162	12.0704	2.045894e+02
152	0.062219	12.0663	2.045901e+02
153	0.062121	12.0732	2.045899e+02
154	0.061883	12.0898	2.045901e+02
155	0.061819	12.0943	2.045890e+02
156	0.061911	12.0879	2.045883e+02
157	0.062144	12.0716	2.045893e+02
158	0.062203	12.0675	2.045901e+02
159	0.062107	12.0742	2.045900e+02
160	0.062170	12.0698	2.045901e+02
161	0.062077	12.0763	2.045901e+02
162	0.062143	12.0717	2.045901e+02
163	0.062053	12.0780	2.045901e+02
164	0.062121	12.0732	2.045901e+02
165	0.062033	12.0793	2.045901e+02
166	0.062104	12.0744	2.045900e+02
167	0.062317	12.0595	2.045901e+02
168	0.062359	12.0566	2.045893e+02
169	0.062247	12.0644	2.045889e+02
170	0.061997	12.0819	2.045898e+02
171	0.061921	12.0872	2.045899e+02
172	0.062003	12.0815	2.045894e+02
173	0.062226	12.0659	2.045899e+02
174	0.062278	12.0623	2.045899e+02
175	0.062174	12.0695	2.045896e+02
176	0.061930	12.0865	2.045901e+02
177	0.061861	12.0914	2.045894e+02
178	0.061949	12.0852	2.045888e+02
179	0.062178	12.0692	2.045896e+02
180	0.062234	12.0653	2.045900e+02
181	0.062135	12.0723	2.045898e+02
182	0.061895	12.0890	2.045901e+02
183	0.061829	12.0936	2.045891e+02
184	0.061920	12.0872	2.045885e+02
185	0.062152	12.0710	2.045894e+02
186	0.062211	12.0669	2.045901e+02
187	0.062114	12.0737	2.045899e+02
188	0.062121	12.0732	2.045901e+02
189	0.061978	12.0832	2.045901e+02
190	0.061999	12.0817	2.045898e+02
191	0.062167	12.0700	2.045899e+02
192	0.062169	12.0698	2.045901e+02
193	0.062021	12.0802	2.045901e+02
194	0.062038	12.0790	2.045900e+02
195	0.062203	12.0675	2.045900e+02
196	0.062201	12.0676	2.045900e+02
197	0.062050	12.0782	2.045900e+02
198	0.062063	12.0772	2.045901e+02
199	0.062226	12.0659	2.045901e+02
