# Step	Epsilon	Squeezing(dB)	QFI_Total
158	0.062332	12.0585	2.045871e+02
159	0.062036	12.0791	2.045891e+02
160	0.061919	12.0873	2.045900e+02
161	0.061965	12.0841	2.045894e+02
162	0.062155	12.0708	2.045897e+02
163	0.062177	12.0693	2.045901e+02
164	0.062046	12.0784	2.045901e+02
165	0.062079	12.0762	2.045900e+02
166	0.062258	12.0637	2.045901e+02
167	0.062269	12.0629	2.045897e+02
168	0.062129	12.0726	2.045896e+02
169	0.061853	12.0919	2.045901e+02
170	0.061755	12.0988	2.045887e+02
171	0.061817	12.0945	2.045875e+02
172	0.062022	12.0801	2.045883e+02
173	0.062357	12.0568	2.045900e+02
174	0.062508	12.0463	2.045889e+02
175	0.062495	12.0472	2.045869e+02
176	0.062332	12.0585	2.045871e+02
177	0.062036	12.0791	2.045891e+02
178	0.061919	12.0873	2.045900e+02
179	0.061965	12.0841	2.045894e+02
180	0.062155	12.0708	2.045897e+02
181	0.062177	12.0693	2.045901e+02
182	0.062046	12.0784	2.045901e+02
183	0.062079	12.0762	2.045900e+02
184	0.062258	12.0637	2.045901e+02
185	0.062269	12.0629	2.045897e+02
186	0.062129	12.0726	2.045896e+02
187	0.061853	12.0919	2.045901e+02
188	0.061755	12.0988	2.045887e+02
189	0.061817	12.0945	2.045875e+02
190	0.062022	12.0801	2.045883e+02
191	0.062357	12.0568	2.045900e+02
192	0.062508	12.0463	2.045889e+02
193	0.062495	12.0472	2.045869e+02
194	0.062332	12.0585	2.045871e+02
195	0.062036	12.0791	2.045891e+02
196	0.061919	12.0873	2.045900e+02
197	0.061965	12.0841	2.045894e+02
198	0.062155	12.0708	2.045897e+02
199	0.062177	12.0693	2.045901e+02
