# mu	 epsilon	 mse	 qfi	 cfi_det
2.35930497e+00	2.02089094e-01	1.07743841e-02	8.93933966e+01	3.42504016e+01
2.35931447e+00	2.01804094e-01	1.08165234e-02	8.96305222e+01	3.45023160e+01
2.35932802e+00	2.01397594e-01	1.08731610e-02	8.99694487e+01	3.48589652e+01
2.35934522e+00	2.00881744e-01	1.09445578e-02	9.04007473e+01	3.53152407e+01
2.35936569e+00	2.00267479e-01	1.10430621e-02	9.09160737e+01	3.58951262e+01
2.35938912e+00	1.99564640e-01	1.11450715e-02	9.15080225e+01	3.63855253e+01
2.35941521e+00	1.98782086e-01	1.12764445e-02	9.21700024e+01	3.71576397e+01
2.35944368e+00	1.97927787e-01	1.14088781e-02	9.28961306e+01	3.79448463e+01
2.35947431e+00	1.97008917e-01	1.15490234e-02	9.36811430e+01	3.88672746e+01
2.35950688e+00	1.96031935e-01	1.17106842e-02	9.45203164e+01	3.96623737e+01
2.35954119e+00	1.95002651e-01	1.18842479e-02	9.54094030e+01	4.06386804e+01
2.35957706e+00	1.93926295e-01	1.20592667e-02	9.63445725e+01	4.17433305e+01
2.35961436e+00	1.92807575e-01	1.22620865e-02	9.73223633e+01	4.29844338e+01
2.35965292e+00	1.91650727e-01	1.24465561e-02	9.83396394e+01	4.43767728e+01
2.35969262e+00	1.90459564e-01	1.26489310e-02	9.93935533e+01	4.56043254e+01
2.35973336e+00	1.89237517e-01	1.28711299e-02	1.00481513e+02	4.68762136e+01
2.35977502e+00	1.87987674e-01	1.30922643e-02	1.01601154e+02	4.83360486e+01
2.35981751e+00	1.86712816e-01	1.33108132e-02	1.02750315e+02	4.98429271e+01
2.35986076e+00	1.85415444e-01	1.35666196e-02	1.03927012e+02	5.16132395e+01
2.35990468e+00	1.84097809e-01	1.38075238e-02	1.05129425e+02	5.31765767e+01
2.35994921e+00	1.82761938e-01	1.40547839e-02	1.06355876e+02	5.48690676e+01
2.35999429e+00	1.81409653e-01	1.43192275e-02	1.07604813e+02	5.66784831e+01
