# mu	 epsilon	 mse	 qfi	 cfi_det
2.36240023e+00	6.19333094e-02	7.10865187e-02	2.04589465e+02	1.38216383e+03
2.36245020e+00	6.19033108e-02	7.12340626e-02	2.04589221e+02	1.40246974e+03
2.36250018e+00	6.20263121e-02	7.10209773e-02	2.04589982e+02	1.43625835e+03
2.36255016e+00	6.22870133e-02	7.07635680e-02	2.04589505e+02	1.44768597e+03
2.36260014e+00	6.23716444e-02	7.07307597e-02	2.04588745e+02	1.45467272e+03
2.36265012e+00	6.22978123e-02	7.10452337e-02	2.04589425e+02	1.51462994e+03
2.36270011e+00	6.20813635e-02	7.13237004e-02	2.04590117e+02	1.54053950e+03
2.36275009e+00	6.20365595e-02	7.16198979e-02	2.04590017e+02	1.56660781e+03
2.36280008e+00	6.21462359e-02	7.15318563e-02	2.04590114e+02	1.59465136e+03
2.36285007e+00	6.20949447e-02	7.17862071e-02	2.04590131e+02	1.64564342e+03
2.36290006e+00	6.21987826e-02	7.16602526e-02	2.04589983e+02	1.69332508e+03
2.36295005e+00	6.21422368e-02	7.19224559e-02	2.04590119e+02	1.68476778e+03
2.36300004e+00	6.19413455e-02	7.23970773e-02	2.04589524e+02	1.74445645e+03
2.36305004e+00	6.19105433e-02	7.25710888e-02	2.04589284e+02	1.83249291e+03
2.36310003e+00	6.20328214e-02	7.25400287e-02	2.04590005e+02	1.83712031e+03
2.36315002e+00	6.22928716e-02	7.21940200e-02	2.04589462e+02	1.82159090e+03
2.36320002e+00	6.23769168e-02	7.20828587e-02	2.04588688e+02	1.82573915e+03
2.36325001e+00	6.23025575e-02	7.22132244e-02	2.04589388e+02	1.85111086e+03
2.36330001e+00	6.20856342e-02	7.26243423e-02	2.04590122e+02	1.95842250e+03
2.36335001e+00	6.20404031e-02	7.28304744e-02	2.04590029e+02	1.98915905e+03
2.36340000e+00	6.21496952e-02	7.28312554e-02	2.04590109e+02	2.01015807e+03
2.36345000e+00	6.20980581e-02	7.29675777e-02	2.04590133e+02	2.04528221e+03
2.36350000e+00	6.22015847e-02	7.29245439e-02	2.04589973e+02	2.05542523e+03
2.36354999e+00	6.21447586e-02	7.30654305e-02	2.04590116e+02	2.14540451e+03
2.36359999e+00	6.19436151e-02	7.33957893e-02	2.04589541e+02	2.19045260e+03
2.36364999e+00	6.19125860e-02	7.36008259e-02	2.04589301e+02	2.21548203e+03
2.36369999e+00	6.20346598e-02	7.33695099e-02	2.04590011e+02	2.17945087e+03
2.36374999e+00	6.22945262e-02	7.31393068e-02	2.04589450e+02	2.20207651e+03
2.36379998e+00	6.23784059e-02	7.31217510e-02	2.04588671e+02	2.27224944e+03
2.36384998e+00	6.23038977e-02	7.34110927e-02	2.04589377e+02	2.29177047e+03
2.36389998e+00	6.20868403e-02	7.37247739e-02	2.04590124e+02	2.32133578e+03
2.36394998e+00	6.20414887e-02	7.41345804e-02	2.04590032e+02	2.37396807e+03
2.36399998e+00	6.21506722e-02	7.40879936e-02	2.04590107e+02	2.37776710e+03
2.36404998e+00	6.20989374e-02	7.39745866e-02	2.04590134e+02	2.41136314e+03
2.36409998e+00	6.22023760e-02	7.40687094e-02	2.04589970e+02	2.46032871e+03
2.36414998e+00	6.21454708e-02	7.43778937e-02	2.04590115e+02	2.49407990e+03
2.36419998e+00	6.19442561e-02	7.46749559e-02	2.04589545e+02	2.58906696e+03
2.36424998e+00	6.19131629e-02	7.47206850e-02	2.04589306e+02	2.62160511e+03
2.36429998e+00	6.20351790e-02	7.46459552e-02	2.04590012e+02	2.64416857e+03
2.36434998e+00	6.22949935e-02	7.44100417e-02	2.04589446e+02	2.63343724e+03
2.36439998e+00	6.23788265e-02	7.44008942e-02	2.04588667e+02	2.69362336e+03
2.36444998e+00	6.23042762e-02	7.46470371e-02	2.04589374e+02	2.72649113e+03
2.36449997e+00	6.20871810e-02	7.48756600e-02	2.04590124e+02	2.78120622e+03
2.36454997e+00	6.20417953e-02	7.48263995e-02	2.04590033e+02	2.77534420e+03
2.36459997e+00	6.21509481e-02	7.44051156e-02	2.04590107e+02	2.76103590e+03
2.36464997e+00	6.20991857e-02	7.46258258e-02	2.04590134e+02	2.81766095e+03
2.36469997e+00	6.22025995e-02	7.43988194e-02	2.04589969e+02	2.85263853e+03
2.36474997e+00	6.21456720e-02	7.44770139e-02	2.04590115e+02	2.87506861e+03
2.36479997e+00	6.19444372e-02	7.46892793e-02	2.04589546e+02	2.92804374e+03
2.36484997e+00	6.19133258e-02	7.44606299e-02	2.04589307e+02	2.93315301e+03
2.36489997e+00	6.20353256e-02	7.42836343e-02	2.04590013e+02	2.93756494e+03
2.36494997e+00	6.22951255e-02	7.37197471e-02	2.04589445e+02	2.88012165e+03
2.36499997e+00	6.23789453e-02	7.34876186e-02	2.04588665e+02	2.87450971e+03
2.36504997e+00	6.23043831e-02	7.35739982e-02	2.04589373e+02	2.84276119e+03
2.36509997e+00	6.20872772e-02	7.37434132e-02	2.04590124e+02	2.92292118e+03
2.36513997e+00	6.20418819e-02	7.34521008e-02	2.04590033e+02	2.96032936e+03
2.36517097e+00	6.21510261e-02	7.32246637e-02	2.04590107e+02	2.95456762e+03
2.36519387e+00	6.20992559e-02	7.33345275e-02	2.04590134e+02	2.97330057e+03
2.36520948e+00	6.22026627e-02	7.30579314e-02	2.04589969e+02	2.93435441e+03
2.36521853e+00	6.21457288e-02	7.31293247e-02	2.04590115e+02	2.94447698e+03
2.36522168e+00	6.19444883e-02	7.34149846e-02	2.04589547e+02	2.97994048e+03
2.36521950e+00	6.19133718e-02	7.34593259e-02	2.04589308e+02	2.98551062e+03
2.36521255e+00	6.20353670e-02	7.32857451e-02	2.04590013e+02	2.96380649e+03
2.36520129e+00	6.22951627e-02	7.30158214e-02	2.04589445e+02	2.94094404e+03
2.36518616e+00	6.23789788e-02	7.29108327e-02	2.04588665e+02	2.92935494e+03
2.36516754e+00	6.23044133e-02	7.30488038e-02	2.04589373e+02	2.92381293e+03
2.36514579e+00	6.20873044e-02	7.33800285e-02	2.04590124e+02	2.94757558e+03
2.36512120e+00	6.20419063e-02	7.37084575e-02	2.04590033e+02	2.95937959e+03
2.36509408e+00	6.21510481e-02	7.36559279e-02	2.04590107e+02	2.91147673e+03
2.36506467e+00	6.20992757e-02	7.38575857e-02	2.04590134e+02	2.94733282e+03
2.36503320e+00	6.22026805e-02	7.37102668e-02	2.04589969e+02	2.85669735e+03
2.36500988e+00	6.21457448e-02	7.37868542e-02	2.04590115e+02	2.87658773e+03
2.36499389e+00	6.19445027e-02	7.40931141e-02	2.04589547e+02	2.95260819e+03
2.36498450e+00	6.19133848e-02	7.41392412e-02	2.04589308e+02	2.96617772e+03
2.36498104e+00	6.20353787e-02	7.39183629e-02	2.04590013e+02	2.94139627e+03
2.36498294e+00	6.22951733e-02	7.35524263e-02	2.04589445e+02	2.89518985e+03
2.36498964e+00	6.23789883e-02	7.34775845e-02	2.04588665e+02	2.87201055e+03
2.36500067e+00	6.23044219e-02	7.35933079e-02	2.04589373e+02	2.88759421e+03
2.36501560e+00	6.20873121e-02	7.38669620e-02	2.04590124e+02	2.88467548e+03
2.36503404e+00	6.20419132e-02	7.39398948e-02	2.04590033e+02	2.88398357e+03
2.36505563e+00	6.21510543e-02	7.37924360e-02	2.04590107e+02	2.86899712e+03
2.36507007e+00	6.20992813e-02	7.38510177e-02	2.04590134e+02	2.92596378e+03
2.36507806e+00	6.22026855e-02	7.36337141e-02	2.04589969e+02	2.89985884e+03
2.36508025e+00	6.21457494e-02	7.37074355e-02	2.04590115e+02	2.90957580e+03
2.36507722e+00	6.19445068e-02	7.40193590e-02	2.04589547e+02	2.94431877e+03
2.36506950e+00	6.19133885e-02	7.41175687e-02	2.04589308e+02	2.95892764e+03
2.36505754e+00	6.20353820e-02	7.39577462e-02	2.04590013e+02	2.88902330e+03
2.36504179e+00	6.22951762e-02	7.35790059e-02	2.04589445e+02	2.84012045e+03
2.36503260e+00	6.23789910e-02	7.34590868e-02	2.04588665e+02	2.83057412e+03
2.36502934e+00	6.23044243e-02	7.35658913e-02	2.04589373e+02	2.85465505e+03
2.36503140e+00	6.20873142e-02	7.38761973e-02	2.04590124e+02	2.87930330e+03
2.36503826e+00	6.20419152e-02	7.39340053e-02	2.04590033e+02	2.88306111e+03
2.36504943e+00	6.21510561e-02	7.37920596e-02	2.04590107e+02	2.86845133e+03
2.36505449e+00	6.20992828e-02	7.38778180e-02	2.04590134e+02	2.87725219e+03
2.36505403e+00	6.22026869e-02	7.37302565e-02	2.04589969e+02	2.85974546e+03
2.36504863e+00	6.21457506e-02	7.37996311e-02	2.04590115e+02	2.86934982e+03
2.36504876e+00	6.19445080e-02	7.40878220e-02	2.04589547e+02	2.90391849e+03
2.36504388e+00	6.19133895e-02	7.41246475e-02	2.04589308e+02	2.90506468e+03
2.36504449e+00	6.20353830e-02	7.39495420e-02	2.04590013e+02	2.88394180e+03
2.36505004e+00	6.22951771e-02	7.35870706e-02	2.04589445e+02	2.84428883e+03
2.36506003e+00	6.23789917e-02	7.34653924e-02	2.04588665e+02	2.83221531e+03
2.36506403e+00	6.23044250e-02	7.35653639e-02	2.04589373e+02	2.91148337e+03
2.36506262e+00	6.20873148e-02	7.38791220e-02	2.04590124e+02	2.88101679e+03
2.36505636e+00	6.20419157e-02	7.39484592e-02	2.04590033e+02	2.88761823e+03
2.36504572e+00	6.21510566e-02	7.37841641e-02	2.04590107e+02	2.86423916e+03
2.36504114e+00	6.20992833e-02	7.38581053e-02	2.04590134e+02	2.87301911e+03
2.36504203e+00	6.22026873e-02	7.37105532e-02	2.04589969e+02	2.85554472e+03
2.36504782e+00	6.21457510e-02	7.37980714e-02	2.04590115e+02	2.86533783e+03
2.36505804e+00	6.19445083e-02	7.40881204e-02	2.04589547e+02	2.90475881e+03
2.36506223e+00	6.19133898e-02	7.41285553e-02	2.04589308e+02	2.91109957e+03
