# mu	 epsilon	 mse	 qfi	 cfi_det
2.35930497e+00	3.17833239e-02	1.32034152e-01	1.05422562e+02	2.21188510e+03
2.35931447e+00	3.20683239e-02	1.30729482e-01	1.06107451e+02	2.18566100e+03
2.35932802e+00	3.24748239e-02	1.29011729e-01	1.07072337e+02	2.14952353e+03
2.35934522e+00	3.29906739e-02	1.26838332e-01	1.08276683e+02	2.11252473e+03
2.35936569e+00	3.36049389e-02	1.24364514e-01	1.09681812e+02	2.07022350e+03
2.35938912e+00	3.43077774e-02	1.21621684e-01	1.11251443e+02	2.01860078e+03
2.35941521e+00	3.50903320e-02	1.18677354e-01	1.12952029e+02	1.95956901e+03
2.35944368e+00	3.59446312e-02	1.15587823e-01	1.14752938e+02	1.91637000e+03
2.35947431e+00	3.68635005e-02	1.12425329e-01	1.16626522e+02	1.85405990e+03
2.35950688e+00	3.78404828e-02	1.09200816e-01	1.18548081e+02	1.80214085e+03
2.35954119e+00	3.88697669e-02	1.05976661e-01	1.20495771e+02	1.74202981e+03
2.35957706e+00	3.99461226e-02	1.02823195e-01	1.22450454e+02	1.68684463e+03
2.35961436e+00	4.10648427e-02	9.95590898e-02	1.24395528e+02	1.62632749e+03
2.35965292e+00	4.22216908e-02	9.64861323e-02	1.26316721e+02	1.56947248e+03
2.35969262e+00	4.34128541e-02	9.34227667e-02	1.28201895e+02	1.52036733e+03
2.35973336e+00	4.46349011e-02	9.05034566e-02	1.30040837e+02	1.46607752e+03
2.35977502e+00	4.58847434e-02	8.76252486e-02	1.31825059e+02	1.42216913e+03
2.35981751e+00	4.71596014e-02	8.48532826e-02	1.33547607e+02	1.37117915e+03
2.35986076e+00	4.84569737e-02	8.22354463e-02	1.35202884e+02	1.33362121e+03
2.35990468e+00	4.97746087e-02	7.96959693e-02	1.36786480e+02	1.28560042e+03
2.35994921e+00	5.11104802e-02	7.72935352e-02	1.38295023e+02	1.24218506e+03
2.35999429e+00	5.24627646e-02	7.50433625e-02	1.39726042e+02	1.20148615e+03
2.36003985e+00	5.38298205e-02	7.28667580e-02	1.41077841e+02	1.16645241e+03
2.36008587e+00	5.52101708e-02	7.07228359e-02	1.42349390e+02	1.12544350e+03
2.36013228e+00	5.66024861e-02	6.88225777e-02	1.43540229e+02	1.08633310e+03
2.36017905e+00	5.80055699e-02	6.69537057e-02	1.44650376e+02	1.05825498e+03
2.36022614e+00	5.94183453e-02	6.51117934e-02	1.45680255e+02	1.02127978e+03
2.36027352e+00	6.08398432e-02	6.33502606e-02	1.46630629e+02	9.94676548e+02
2.36032117e+00	6.22691912e-02	6.16881933e-02	1.47502541e+02	9.62830893e+02
2.36036905e+00	6.37056045e-02	6.00233652e-02	1.48297261e+02	9.31280697e+02
2.36041714e+00	6.51483764e-02	5.84084914e-02	1.49016247e+02	9.06582841e+02
2.36046542e+00	6.65968712e-02	5.68608666e-02	1.49661102e+02	8.78123176e+02
2.36051388e+00	6.80505164e-02	5.53516121e-02	1.50233544e+02	8.54503666e+02
2.36056249e+00	6.95087972e-02	5.38627658e-02	1.50735379e+02	8.29368291e+02
2.36061124e+00	7.09712498e-02	5.24896238e-02	1.51168475e+02	8.06188914e+02
2.36066011e+00	7.24374573e-02	5.11192019e-02	1.51534740e+02	7.81474727e+02
2.36070910e+00	7.39070439e-02	4.98819810e-02	1.51836111e+02	7.63176104e+02
2.36075818e+00	7.53796719e-02	4.85936213e-02	1.52074532e+02	7.44352245e+02
2.36080736e+00	7.68550371e-02	4.74796116e-02	1.52251948e+02	7.26613642e+02
2.36085662e+00	7.83328658e-02	4.63565154e-02	1.52370292e+02	7.12450973e+02
2.36090596e+00	7.98129116e-02	4.53025144e-02	1.52431477e+02	6.97480332e+02
2.36095536e+00	8.12949528e-02	4.43200812e-02	1.52437389e+02	6.77572360e+02
2.36100482e+00	8.24787899e-02	4.35608864e-02	1.52403702e+02	6.60517813e+02
2.36105434e+00	8.33942433e-02	4.29796631e-02	1.52354969e+02	6.64010272e+02
2.36110390e+00	8.40681514e-02	4.26278399e-02	1.52306749e+02	6.58292594e+02
2.36115351e+00	8.45246686e-02	4.24413427e-02	1.52268238e+02	6.63775867e+02
2.36120315e+00	8.47855341e-02	4.22672920e-02	1.52244138e+02	6.61171393e+02
2.36125283e+00	8.48703131e-02	4.23228420e-02	1.52235979e+02	6.74198435e+02
2.36130255e+00	8.47966142e-02	4.23924965e-02	1.52243080e+02	6.89676132e+02
2.36135229e+00	8.45802852e-02	4.25527159e-02	1.52263227e+02	6.88793624e+02
2.36140206e+00	8.42355890e-02	4.27628530e-02	1.52293168e+02	6.95445643e+02
2.36145185e+00	8.37753625e-02	4.32058811e-02	1.52328971e+02	7.21557796e+02
2.36150166e+00	8.32111586e-02	4.36464876e-02	1.52366272e+02	7.52223846e+02
2.36155149e+00	8.25533752e-02	4.40655128e-02	1.52400464e+02	7.61239361e+02
2.36160134e+00	8.18113700e-02	4.45959554e-02	1.52426817e+02	8.01322757e+02
2.36165120e+00	8.09935654e-02	4.52262552e-02	1.52440572e+02	8.14550739e+02
2.36170108e+00	8.01075413e-02	4.58696578e-02	1.52436997e+02	8.70905030e+02
2.36175097e+00	7.94601195e-02	4.63074901e-02	1.52421986e+02	9.15536313e+02
2.36180087e+00	7.90274400e-02	4.66069707e-02	1.52406019e+02	9.04310434e+02
2.36185078e+00	7.87880283e-02	4.70022553e-02	1.52395117e+02	9.18243716e+02
2.36190070e+00	7.87225579e-02	4.70531164e-02	1.52391878e+02	9.29284489e+02
2.36195063e+00	7.88136345e-02	4.69920774e-02	1.52396354e+02	1.02208999e+03
2.36200056e+00	7.90456034e-02	4.68185737e-02	1.52406786e+02	1.02030110e+03
2.36205050e+00	7.94043755e-02	4.65657570e-02	1.52420197e+02	1.02970632e+03
2.36210045e+00	7.98772703e-02	4.63459518e-02	1.52432869e+02	1.06777056e+03
2.36215040e+00	8.04528757e-02	4.59632026e-02	1.52440702e+02	1.05135158e+03
2.36220036e+00	8.11209205e-02	4.54933446e-02	1.52439497e+02	1.06593394e+03
2.36225032e+00	8.15721608e-02	4.53090998e-02	1.52432514e+02	1.13297515e+03
2.36230028e+00	8.18282771e-02	4.51447875e-02	1.52426363e+02	1.15992547e+03
2.36235025e+00	8.19087818e-02	4.51780847e-02	1.52424105e+02	1.17614939e+03
2.36240023e+00	8.18312360e-02	4.52773937e-02	1.52426283e+02	1.20641307e+03
2.36245020e+00	8.16114448e-02	4.54565601e-02	1.52431673e+02	1.24420994e+03
2.36250018e+00	8.12636327e-02	4.56707385e-02	1.52437823e+02	1.33336344e+03
2.36255016e+00	8.08006018e-02	4.60454035e-02	1.52441445e+02	1.45633123e+03
2.36260014e+00	8.02338740e-02	4.64886592e-02	1.52438697e+02	1.41866919e+03
2.36265012e+00	7.98738190e-02	4.68716897e-02	1.52432797e+02	1.48211862e+03
2.36270011e+00	7.96997695e-02	4.69820104e-02	1.52428776e+02	1.55164099e+03
2.36275009e+00	7.96931249e-02	4.71477069e-02	1.52428608e+02	1.60312266e+03
2.36280008e+00	7.98371448e-02	4.70839694e-02	1.52432013e+02	1.64567554e+03
2.36285007e+00	8.01167627e-02	4.69849468e-02	1.52437134e+02	1.64782646e+03
2.36290006e+00	8.05184188e-02	4.67264918e-02	1.52441071e+02	1.81154223e+03
2.36295005e+00	8.10299093e-02	4.64546253e-02	1.52440306e+02	1.81063385e+03
2.36300004e+00	8.13402508e-02	4.63977913e-02	1.52436719e+02	1.83931839e+03
2.36305004e+00	8.14695581e-02	4.63939567e-02	1.52434535e+02	1.88150730e+03
2.36310003e+00	8.14359347e-02	4.64619790e-02	1.52435142e+02	1.88961811e+03
2.36315002e+00	8.12556736e-02	4.65956188e-02	1.52437929e+02	1.80452518e+03
2.36320002e+00	8.09434386e-02	4.68346897e-02	1.52440887e+02	1.85019220e+03
2.36325001e+00	8.05124271e-02	4.71539405e-02	1.52441042e+02	1.88124922e+03
2.36330001e+00	8.02745168e-02	4.73887288e-02	1.52439160e+02	2.02094214e+03
2.36335001e+00	8.02103975e-02	4.75841403e-02	1.52438411e+02	2.06378719e+03
2.36340000e+00	8.03026902e-02	4.76032618e-02	1.52439456e+02	2.08540961e+03
2.36345000e+00	8.05357535e-02	4.74704857e-02	1.52441151e+02	2.07209881e+03
2.36350000e+00	8.08955106e-02	4.72733766e-02	1.52441130e+02	2.15335760e+03
2.36354999e+00	8.10692919e-02	4.71816940e-02	1.52439981e+02	2.08994874e+03
2.36359999e+00	8.10756951e-02	4.72207648e-02	1.52439924e+02	2.08088367e+03
2.36364999e+00	8.09314580e-02	4.73625917e-02	1.52440953e+02	2.11686897e+03
2.36369999e+00	8.06516445e-02	4.75363788e-02	1.52441492e+02	2.00204097e+03
2.36374999e+00	8.05498125e-02	4.76866576e-02	1.52441210e+02	2.07096693e+03
2.36379998e+00	8.06081636e-02	4.76898462e-02	1.52441403e+02	2.11164795e+03
2.36384998e+00	8.08106796e-02	4.76461358e-02	1.52441422e+02	2.12184832e+03
2.36389998e+00	8.08429441e-02	4.76239207e-02	1.52441332e+02	2.00274095e+03
2.36394998e+00	8.07219820e-02	4.78412612e-02	1.52441538e+02	2.04962847e+03
2.36399998e+00	8.04631162e-02	4.80902288e-02	1.52440767e+02	2.06666455e+03
2.36404998e+00	8.03801370e-02	4.80643455e-02	1.52440169e+02	2.07087366e+03
2.36409998e+00	8.04554557e-02	4.81444911e-02	1.52440719e+02	2.06886724e+03
2.36414998e+00	8.06732425e-02	4.81108205e-02	1.52441519e+02	2.08303690e+03
2.36419998e+00	8.10192506e-02	4.78664539e-02	1.52440387e+02	2.12389278e+03
2.36424998e+00	8.11806580e-02	4.77663323e-02	1.52438857e+02	2.17966473e+03
2.36429998e+00	8.11759245e-02	4.77952815e-02	1.52438911e+02	2.13401346e+03
2.36434998e+00	8.10216645e-02	4.79823684e-02	1.52440369e+02	2.14548933e+03
2.36439998e+00	8.07328304e-02	4.82640856e-02	1.52441534e+02	2.30472191e+03
2.36444998e+00	8.03228798e-02	4.86551328e-02	1.52439656e+02	2.37061293e+03
2.36449997e+00	8.01039242e-02	4.87845630e-02	1.52436942e+02	2.20142696e+03
2.36454997e+00	8.00568641e-02	4.87247225e-02	1.52436202e+02	2.16948802e+03
2.36459997e+00	8.01645101e-02	4.84646572e-02	1.52437813e+02	2.18126608e+03
2.36463997e+00	8.04113915e-02	4.84381337e-02	1.52440414e+02	2.13821649e+03
2.36467097e+00	8.07835847e-02	4.81661850e-02	1.52441478e+02	2.12438488e+03
2.36469387e+00	8.09685586e-02	4.79979583e-02	1.52440737e+02	2.15185422e+03
2.36470948e+00	8.09850352e-02	4.79955955e-02	1.52440630e+02	2.62879918e+03
2.36471853e+00	8.08498640e-02	4.81049512e-02	1.52441309e+02	2.56144800e+03
2.36472168e+00	8.05782100e-02	4.82849786e-02	1.52441314e+02	2.60057749e+03
2.36471951e+00	8.04837214e-02	4.83706358e-02	1.52440889e+02	2.61302820e+03
