# mu	 epsilon	 mse	 qfi	 cfi_det
2.36345000e+00	9.74272293e-02	7.02026765e-02	3.66527503e+01	2.13349028e+01
2.36350000e+00	9.72002364e-02	7.03896838e-02	3.66533205e+01	2.14741627e+01
2.36354999e+00	9.68459427e-02	7.06630811e-02	3.66537237e+01	2.16749404e+01
2.36359999e+00	9.63770784e-02	7.10793560e-02	3.66533390e+01	2.18819252e+01
2.36364999e+00	9.61051005e-02	7.13411399e-02	3.66526329e+01	2.20447884e+01
2.36369999e+00	9.60103204e-02	7.14129480e-02	3.66523031e+01	2.20548367e+01
2.36374999e+00	9.60750183e-02	7.14548909e-02	3.66525329e+01	2.24097231e+01
2.36379998e+00	9.62832464e-02	7.13276619e-02	3.66531356e+01	2.24832239e+01
2.36384998e+00	9.66206518e-02	7.12216522e-02	3.66536699e+01	2.24212076e+01
2.36389998e+00	9.70743165e-02	7.08830516e-02	3.66535319e+01	2.22983420e+01
2.36394998e+00	9.73326148e-02	7.08756205e-02	3.66530174e+01	2.25849919e+01
2.36399998e+00	9.74150833e-02	7.09048273e-02	3.66527869e+01	2.26634391e+01
2.36404998e+00	9.73393049e-02	7.08507232e-02	3.66529999e+01	2.27545306e+01
2.36409998e+00	9.71211044e-02	7.11586696e-02	3.66534621e+01	2.29053325e+01
2.36414998e+00	9.67747239e-02	7.15858272e-02	3.66537328e+01	2.31182445e+01
2.36419998e+00	9.65983246e-02	7.17467192e-02	3.66536514e+01	2.35345327e+01
2.36424998e+00	9.65895652e-02	7.17362585e-02	3.66536435e+01	2.36423722e+01
2.36429998e+00	9.67316818e-02	7.16437206e-02	3.66537267e+01	2.37153534e+01
2.36434998e+00	9.70095867e-02	7.15394902e-02	3.66536114e+01	2.37952534e+01
2.36439998e+00	9.71097011e-02	7.15867719e-02	3.66534801e+01	2.39834000e+01
2.36444998e+00	9.70498040e-02	7.16967523e-02	3.66535643e+01	2.40788842e+01
